industry_code,industry_name,model,n_obs,topcode,converged,S2,S3,S4,S5,s5_s2,s5_s2_ci_lo,s5_s2_ci_hi,boot_B,boot_valid,boot_seed,poisson_pearson_chi2_df,negbin_alpha_mom
606,書籍・文房具小売業,poisson,1740,,True,5085.61395301912,8590.1276269978,12274.6887578844,16091.8176758845,1.26567355088614,1.21133564297091,1.33929288345317,200,200,42,4.40859176976471,
606,書籍・文房具小売業,negbin,1740,,True,4453.8006882656,7811.86488984034,11453.7289107921,15312.2310009946,1.37520576898177,1.3326357829729,1.41771854729039,200,200,42,,0.136248490212814
782,理容業,binary_logit,1740,,True,1327.6534517973,2128.02235623792,2990.19072956606,4106.28004439308,1.23715418020696,1.0599064079297,1.46459461759919,500,500,42,,
782,理容業,ordered_logit,1740,5,True,1359.2514746068,2074.63123063985,2963.48007084578,3981.71374643506,1.1717371864796,1.02692856593136,1.31512743118533,200,200,42,,
782,理容業,poisson,1740,,True,1055.45724307247,1838.40191859157,2682.48297995321,3572.92707354118,1.35407742833438,1.31562103302808,1.389634388439,200,200,42,6.13332926725337,
782,理容業,negbin,1740,,True,1087.73394942537,1892.09465085454,2758.42523288134,3671.70832834652,1.35022294019093,1.32660142507507,1.37665820099338,200,200,42,,0.0661591847094322
783,美容業,binary_logit,1740,,True,1300.08179089406,1910.26433837999,2513.25746509956,3127.52623878434,0.96225522446047,0.82891303105235,1.12897047635649,500,500,42,,
783,美容業,ordered_logit,1740,5,True,1306.75419426067,1902.3046563742,2413.2867190539,2997.92306264571,0.917670079288898,0.826143944958752,1.02538919883815,200,200,42,,
783,美容業,poisson,1740,,True,823.971883844734,1369.28054024357,1935.01859788043,2515.5015732002,1.22115893637662,1.18486171803591,1.25434653520183,200,200,42,9.3553970730989,
783,美容業,negbin,1740,,True,993.948480446992,1620.37922973481,2260.23417891906,2909.42949902255,1.17085726524342,1.15516147879721,1.1892848942725,200,200,42,,0.0639615955638179
78A,普通洗濯業,binary_logit,1740,,True,6058.46648687489,9027.11717095228,12441.0350905923,15100.5842265845,0.996990526186683,0.925417642689518,1.07926002702913,500,500,42,,
78A,普通洗濯業,ordered_logit,1740,5,True,5720.11320630801,8685.79645201434,12160.1810481808,15038.7946030681,1.0516431448583,0.980667833956192,1.14245417357894,200,200,42,,
78A,普通洗濯業,poisson,1740,,True,5565.5442196358,8844.13144470576,12123.173853183,15399.9046620441,1.10680314839377,1.08715799361294,1.12531563130744,200,200,42,1.57732765093177,
78A,普通洗濯業,negbin,1740,,True,5809.77876109949,9179.22628621705,12533.3878442375,15873.8825564454,1.09290788576888,1.081917070268,1.10556071244661,200,200,42,,0.0213457533728318
79A,葬儀業,binary_logit,1740,,True,10973.3305867616,21369.9122457388,33073.8288702434,44553.8402494952,1.62407720781676,1.46659258032965,1.77631409005227,500,500,42,,
79A,葬儀業,ordered_logit,1740,5,True,10678.3771858599,20211.3799143943,32417.2323053093,45519.7362938406,1.70511812802856,1.55759662843829,1.87198587229862,200,200,42,,
79A,葬儀業,poisson,1740,,True,13516.3547930388,23420.3114702083,34052.2457208955,45233.6949340329,1.33863591557478,1.29952399500524,1.38362043426223,200,200,42,1.33145061261916,
79A,葬儀業,negbin,1740,,True,13323.2405372143,23314.6595251827,34128.1408603767,45567.676296598,1.36806585963285,1.332855424572,1.41020965135735,200,200,42,,0.048489678051364
823,学習塾,binary_logit,1740,,True,7467.20216678994,10282.9145866243,13698.8693545332,15892.5131430675,0.851323576787504,0.793688652338258,0.912665197355882,500,500,42,,
823,学習塾,ordered_logit,1740,5,True,7066.64241106899,9802.65751175544,13358.0495592705,15788.9568047624,0.893717603711262,0.833872456546812,0.949073143558545,200,200,42,,
823,学習塾,poisson,1740,,True,4712.45058700383,7367.98159375619,9988.77384438867,12582.7159971519,1.0680401430078,1.04999893927005,1.08452495768356,200,200,42,2.5751966175944,
823,学習塾,negbin,1740,,True,5694.33184387086,8661.24724326494,11523.9797862161,14311.6660124174,1.0053271502132,0.987174516802155,1.0225285021666,200,200,42,,0.0258572189580324
831,病院,binary_logit,1740,,True,19931.8134640027,34073.4546560923,50838.510368138,67363.1462716895,1.35187189852742,1.24899482673769,1.47613821575432,500,500,42,,
831,病院,ordered_logit,1740,5,True,18935.3319689566,33387.1739965574,51078.4645199894,70671.317739847,1.49289841563293,1.37129199873322,1.6162432233191,200,200,42,,
831,病院,poisson,1740,,True,20971.3941221098,34856.1735776563,49263.0945687308,64046.9596804361,1.22160614230053,1.16316059414093,1.28033223300117,200,200,42,1.60370603255857,
831,病院,negbin,1740,,True,22029.0286333021,36709.423492868,51978.960103566,67675.6993367571,1.22884581909252,1.19380156277738,1.26277636946471,200,200,42,,0.157204775483218
832,一般診療所,binary_logit,1740,,True,4104.56791014476,6735.73867102336,8982.44739017832,11061.1414822884,1.07793480087879,0.971721433618494,1.1953012980422,500,500,42,,
832,一般診療所,ordered_logit,1740,5,True,3629.44744598981,5966.39340892903,8260.90309447476,10678.4122573227,1.17686368696385,1.08498134530761,1.28063708744535,200,200,42,,
832,一般診療所,poisson,1740,,True,3689.34342831919,5663.58346406902,7582.90014753664,9462.06904291459,1.02588107903258,1.00037899613657,1.05032585431033,200,200,42,5.66918843918247,
832,一般診療所,negbin,1740,,True,4064.8995637464,6176.47404269251,8212.27707057095,10193.5746779159,1.00308256261279,0.992592285718725,1.01469080675742,200,200,42,,0.0531260146386849
833,歯科診療所,binary_logit,1740,,True,4020.28949131193,6958.96859200786,9159.8013934203,11483.3889092925,1.14254348440417,1.05056490194424,1.25291790037302,500,500,42,,
833,歯科診療所,ordered_logit,1740,5,True,3892.60780968131,6547.40325242514,8904.12736466968,11407.5360498849,1.17222557294503,1.08511652759047,1.26460487379876,200,200,42,,
833,歯科診療所,poisson,1740,,True,4352.45528713344,6725.01580012502,9043.89010658713,11322.9878028752,1.04060692697731,1.02197918872396,1.05968207115946,200,200,42,4.27284828507221,
833,歯科診療所,negbin,1740,,True,4627.57129086945,7103.62252026123,9510.87478338254,11867.8340234719,1.02583694793751,1.01273062769753,1.03872746595204,200,200,42,,0.0376226651720766
891,自動車整備業,binary_logit,1740,,True,2393.76071178258,3756.3351932263,5534.55714795206,7134.33527711053,1.19215512928989,1.05088363214195,1.35673010556791,500,500,42,,
891,自動車整備業,ordered_logit,1740,5,True,2335.49764478425,3685.63228895224,5332.75215240509,6918.97561812599,1.18501093479204,1.07501574377005,1.32208621583734,200,200,42,,
891,自動車整備業,poisson,1740,,True,1539.79709421385,2794.25572266752,4192.61118929365,5703.84512753286,1.48171344106737,1.42524355584012,1.54232174561765,200,200,42,6.50857405863071,
891,自動車整備業,negbin,1740,,True,1897.46670086008,3356.43266985482,4949.70414424265,6646.23419664907,1.40107527444597,1.36431750105539,1.44027187654526,200,200,42,,0.146344317302487
