,D-10,D-9,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
D1,-0.004805824855393196,-0.0032035740957814785,-0.0025983848448532577,-0.00212409070612939,-0.008848705206988262,0.011895762241446593,0.013790661543121125,-0.012921319663190323,-0.004655507083992278,0.005925180560928842,0.014234605496930742,0.016274401470732752,0.0038999008578872356,0.009186582066570404,-0.003569930657523631,5.386510330984193e-05,0.004164346229542078,0.006865269656908986,0.002502699266768947,0.00867889489655178,-0.011892178915738384,-0.0008799043299406275
D2,0.002451669539078976,0.0014006883131494586,-0.012508150261835048,-0.010169770594003804,-0.014180879161826917,0.007718664016292385,0.017395505662569102,0.0033947208200469483,-0.0036217574830271887,0.019406923586850835,0.016274401470731937,0.03381739751761165,0.024044390744801705,0.014215975881357663,0.004760478012760259,0.005799857527334266,0.008560720950192294,0.008952375342567582,0.009981342345987146,0.004859916189739856,0.002688441550836864,0.01323332772619134
D3,0.011916207968790945,0.00865677603875713,-0.01806273790633418,-0.012484355489694733,-0.018812851665076104,-0.00784078546064103,-0.011636660460183123,0.009788135852511868,0.0010931160694256105,0.012249923776298736,0.0038999008578870084,0.024044390744802267,0.03504741727252901,0.021620801734905177,0.022627928977791142,0.01876729674850109,0.010505126011538487,0.01811790443887845,0.018374614730326692,-0.003701398344018336,0.010318105601797831,0.010546567112460901
D4,0.004001568793678673,0.0001566268132143041,-0.017230861276455907,-0.003227417204782276,-0.027401390789236108,-0.00024905868284294996,-0.01995201719963945,-0.02243018580776022,-0.0010184545298933157,-0.001955706497996393,0.009186582066570205,0.01421597588135836,0.021620801734905257,0.03274122327434352,0.025920200696274404,0.019061880376244483,0.009373940616730967,0.03448394910020253,0.020130125658574596,0.007370356247420604,-0.015397428213639748,-0.006534680195058436
D5,0.0036035606680252055,-0.008205742199562445,-0.023472139470773076,0.004568581710181867,-0.02634669516871869,-0.011439848561275287,-0.02636177292479912,-0.00391056133773132,0.007921315106813218,-0.004765954218150248,-0.003569930657523115,0.004760478012761529,0.022627928977791787,0.02592020069627507,0.04340308329199101,0.0187036391907732,0.007537189218573005,0.0320603566433208,0.016119895763971343,-0.0026545266952962172,0.008505298777341927,0.012878694413393321
D6,-0.0020234479684743878,0.0035916682386626497,-0.014524713712961797,-0.0030337879543131403,-0.022200755882279734,-0.0050271992275815105,-0.024555054824141904,-0.01193235657366931,-0.004853086559957479,-0.004181388161669218,5.3865103309108135e-05,0.0057998575273344195,0.018767296748500497,0.01906188037624384,0.018703639190771823,0.027030479960432955,0.016357804501578893,0.030224808568088988,0.019716928990458495,0.007050883730171127,-0.00255507124750264,-0.0005564066037403313
D7,-0.003650737209968758,0.006090553752592814,0.003968241927304536,-0.00016714434716921556,-0.014130855346184235,0.010088115803841896,-0.0018008455042525726,0.0003864077702048528,0.0013269166114411167,-0.00600812487836543,0.0041643462295429135,0.008560720950193935,0.01050512601153948,0.009373940616732005,0.0075371892185732954,0.01635780450158052,0.020194194723338384,0.019812265379955483,0.010903250411971464,0.014037650493458158,0.016099550065108333,0.014596917249805077
D8,-0.0009647626670796887,-0.0008628580517625431,-0.02378104958770974,0.005712296750686001,-0.035058068892737125,0.0033934808350239926,-0.02740069070341172,-0.03181849641194727,-0.004335464507745753,-0.00773454344275699,0.0068652696569079545,0.008952375342567515,0.018117904438877626,0.03448394910020164,0.03206035664331912,0.030224808568088714,0.019812265379953484,0.062351620842884835,0.038909465335797526,0.03080949087654756,-0.00819670783640043,0.001976569642240187
D9,0.009929432049218897,0.009967422382303375,-0.017071181168440232,-0.0031893210422735212,-0.016734038755921086,-0.0022203867410503977,-0.018700721355620908,-0.010618584438515318,-0.004256276299519496,0.003319636978932159,0.0025026992667676494,0.009981342345986882,0.018374614730325672,0.020130125658573587,0.01611989576396951,0.019716928990458127,0.01090325041196925,0.03890946533579754,0.0332489324610346,0.021214738727607693,-0.0002188402348059867,0.0005012725720893536
D10,-0.0017088283104855727,0.005859184337690006,0.0040316453259806855,0.00589522803965431,-0.008290312456803579,0.018301203064871173,0.005691336258703023,-0.01471944791957231,-0.0028288964906873844,-0.004982322430292391,0.008678894896550694,0.004859916189739747,-0.0037013983440190956,0.007370356247419684,-0.002654526695297915,0.007050883730170885,0.014037650493456011,0.030809490876547586,0.021214738727607825,0.03500104034242985,0.004335213312116217,0.0069444789732112915
D11,0.01515146415682083,0.01826226219074491,0.02554329342059048,0.0013026275906138224,0.011315009449332386,0.007602118417634531,0.016326457926611776,0.06079173790310867,0.024053426944122814,-0.0029557568271784953,-0.011892178915739142,0.0026884415508371326,0.010318105601797379,-0.015397428213640188,0.008505298777340442,-0.002555071247502446,0.016099550065106587,-0.008196707836400006,-0.00021884023480542953,0.004335213312116644,0.08085144156663979,0.05483429360911961
D12,0.000505361440154437,-0.00047249735555066606,0.006013141179803778,0.005266036257119232,-0.002574314127945005,0.009915444455665898,0.02247554167467876,0.0362659485764692,0.014152103401521048,0.003974886551288043,-0.0008799043299405013,0.01323332772619259,0.010546567112461389,-0.006534680195057867,0.012878694413392825,-0.0005564066037390839,0.014596917249804492,0.001976569642241798,0.000501272572090908,0.006944478973212827,0.05483429360912074,0.049403139347851524
