release_id,period_code,period,period_end,coverage_scope,seasonal_adjustment,metric_id,metric_label_ja,industry_code,industry_name,raw_value_oku_yen,raw_lag4_value_oku_yen,raw_yoy_delta_oku_yen,raw_yoy_pct,total_yoy_delta_oku_yen,contribution_pct_to_net_change,rank_by_yoy_delta,component_type,taxonomy,contribution_denominator,source_table_number,estat_sid,source_path,source_sha256
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,137,サービス業(集約),16616.39,17268.16,-651.7700000000004,-3.7744032948501705,88.77999999999884,-734.1405722009563,10,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,capex_including_software,設備投資（ソフトウェア込み）,155,不動産業、物品賃貸業(集約),20721.52,23640.0,-2918.4799999999996,-12.34551607445008,88.77999999999884,-3287.3169632800605,11,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,108,製造業,88629.4,60876.83,27752.569999999992,45.5880669213558,25970.25,106.86292969840487,1,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,134,運輸業、郵便業(集約),8061.81,5176.37,2885.4400000000005,55.74253772431259,25970.25,11.110559197543344,2,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,155,不動産業、物品賃貸業(集約),25824.79,23805.96,2018.8300000000017,8.48035533958722,25970.25,7.773625590820273,3,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,142,情報通信業,20832.23,19154.29,1677.9399999999987,8.760126321570771,25970.25,6.461008269077112,4,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,105,農林水産業(集約),297.97,-125.41,423.38,,25970.25,1.6302499975934002,5,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,129,卸売業・小売業(集約),36377.3,36324.96,52.34000000000378,0.14408825226510658,25970.25,0.20153829863017794,6,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,136,ガス・熱供給・水道業,912.21,1234.93,-322.72,-26.1326552922028,25970.25,-1.2426526506290854,7,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
2026Q1,20261,2026年1 - 3 月,2026-03-31,EXCL_FINANCE_INSURANCE,RAW,operating_profit,営業利益,106,鉱業、採石業、砂利採取業,950.42,1918.17,-967.7500000000001,-50.4517326410068,25970.25,-3.7263792223794536,8,major_industry,MOF_PUBLISHED_MUTUALLY_EXCLUSIVE_MAJOR_INDUSTRIES,ALL_NONFINANCIAL_NET_YOY_DELTA,1,0003060191,data/raw/2026Q1/table1_nonfinancial_raw_values.json,dfc1dd198f208ac412628ee6300d36e8274a338d3e552259e261ea003e7c595c
