assignment,is_actual,pre_mean,post_mean
宮城:1977|新潟:1981|山形:1978|山梨:1975|長野:1978|秋田:1982,0,0.08456116930381374,0.25092108683252623
宮城:1977|新潟:1981|山形:1978|山梨:1975|長野:1982|秋田:1978,0,0.25170586515131815,0.16504839982478356
宮城:1977|新潟:1981|山形:1978|山梨:1978|長野:1975|秋田:1982,0,-0.19314501604208725,0.15161112311057187
宮城:1977|新潟:1981|山形:1978|山梨:1978|長野:1982|秋田:1975,0,0.36034232226586577,0.2800716523006615
宮城:1977|新潟:1981|山形:1978|山梨:1982|長野:1975|秋田:1978,0,-0.07679729068784936,0.23841609106118614
宮城:1977|新潟:1981|山形:1978|山梨:1982|長野:1978|秋田:1975,0,0.30954535177260595,0.4527493072590269
宮城:1977|新潟:1981|山形:1982|山梨:1975|長野:1978|秋田:1978,0,0.015105023560396903,0.12512816306651808
宮城:1977|新潟:1981|山形:1982|山梨:1978|長野:1975|秋田:1978,0,-0.2626011617855035,0.025818199344570792
宮城:1977|新潟:1981|山形:1982|山梨:1978|長野:1978|秋田:1975,0,0.12374148067492316,0.24015141554238426
宮城:1977|新潟:1982|山形:1975|山梨:1978|長野:1978|秋田:1981,0,0.2506995270705544,0.5664557619837374
宮城:1977|新潟:1982|山形:1975|山梨:1978|長野:1981|秋田:1978,0,0.3180045725638828,0.3889582421910049
宮城:1977|新潟:1982|山形:1975|山梨:1981|長野:1978|秋田:1978,0,0.2519520546424496,0.5276280559425015
宮城:1977|新潟:1982|山形:1978|山梨:1975|長野:1978|秋田:1981,0,0.3329541114959126,0.48237778582683083
宮城:1977|新潟:1982|山形:1978|山梨:1975|長野:1981|秋田:1978,0,0.4002591569892252,0.30488026603408297
宮城:1977|新潟:1982|山形:1978|山梨:1978|長野:1975|秋田:1981,0,0.05524792614999878,0.38306782210486096
宮城:1977|新潟:1982|山形:1978|山梨:1978|長野:1981|秋田:1975,0,0.5088956141037632,0.4199035185099524
宮城:1977|新潟:1982|山形:1978|山梨:1981|長野:1975|秋田:1978,0,0.05650045372189117,0.34424011606362603
宮城:1977|新潟:1982|山形:1978|山梨:1981|長野:1978|秋田:1975,0,0.4428430961823369,0.5585733322614583
宮城:1977|新潟:1982|山形:1981|山梨:1975|長野:1978|秋田:1978,0,0.1260094427414681,0.22705808053955542
宮城:1977|新潟:1982|山形:1981|山梨:1978|長野:1975|秋田:1978,0,-0.15169674260443916,0.12774811681759282
宮城:1977|新潟:1982|山形:1981|山梨:1978|長野:1978|秋田:1975,0,0.23464589985601791,0.3420813330154362
宮城:1978|新潟:1975|山形:1977|山梨:1978|長野:1981|秋田:1982,0,-0.5262308430907667,-0.17381627809608
宮城:1978|新潟:1975|山形:1977|山梨:1978|長野:1982|秋田:1981,0,-0.4263911927366017,-0.0821914453111031
宮城:1978|新潟:1975|山形:1977|山梨:1981|長野:1978|秋田:1982,0,-0.5922833610122286,-0.03514646434462112
宮城:1978|新潟:1975|山形:1977|山梨:1981|長野:1982|秋田:1978,0,-0.42513866516471754,-0.1210191513523553
宮城:1978|新潟:1975|山形:1977|山梨:1982|長野:1978|秋田:1981,0,-0.47718816322987045,0.0904862096472534
宮城:1978|新潟:1975|山形:1977|山梨:1982|長野:1981|秋田:1978,0,-0.40988311773654523,-0.08701131014548741
宮城:1978|新潟:1975|山形:1978|山梨:1977|長野:1981|秋田:1982,0,-0.00011789206062034643,0.31168130223665164
宮城:1978|新潟:1975|山形:1978|山梨:1977|長野:1982|秋田:1981,0,0.09972175829355863,0.4033061350216458
宮城:1978|新潟:1975|山形:1978|山梨:1981|長野:1977|秋田:1982,0,-0.23021248923001844,0.33483378529488356
宮城:1978|新潟:1975|山形:1978|山梨:1981|長野:1982|秋田:1977,0,0.0775002485941622,0.33553847105496915
宮城:1978|新潟:1975|山形:1978|山梨:1982|長野:1977|秋田:1981,0,-0.11511729144767434,0.46046645928674385
宮城:1978|新潟:1975|山形:1978|山梨:1982|長野:1981|秋田:1977,0,0.09275579602231972,0.36954631226182744
