check_id,taxonomy,scope,parent_major_code,industry_code,capital_size_code,metric_id,measure,expected_oku_yen,actual_oku_yen,difference_oku_yen,tolerance_oku_yen,status
leaf_parent_108_26_sales_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,sales,yoy_delta,52662.789999999804,52662.790000000015,2.1100277081131935e-10,0.01,PASS
leaf_parent_108_26_operating_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,operating_profit,current,88629.4,88629.4,0.0,0.01,PASS
leaf_parent_108_26_operating_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,operating_profit,previous,60876.83,60876.83,0.0,0.01,PASS
leaf_parent_108_26_operating_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,operating_profit,yoy_delta,27752.569999999992,27752.57,7.275957614183426e-12,0.01,PASS
leaf_parent_108_26_ordinary_profit_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,ordinary_profit,current,129231.15,129231.15000000001,1.4551915228366852e-11,0.01,PASS
leaf_parent_108_26_ordinary_profit_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,ordinary_profit,previous,90447.82,90447.82,0.0,0.01,PASS
leaf_parent_108_26_ordinary_profit_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,ordinary_profit,yoy_delta,38783.32999999999,38783.33,1.4551915228366852e-11,0.01,PASS
leaf_parent_108_26_capex_including_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,capex_including_software,current,61980.91,61980.91,0.0,0.01,PASS
leaf_parent_108_26_capex_including_software_previous,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,capex_including_software,previous,62251.69,62251.69,0.0,0.01,PASS
leaf_parent_108_26_capex_including_software_yoy_delta,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,capex_including_software,yoy_delta,-270.77999999999884,-270.7799999999987,1.1368683772161603e-13,0.01,PASS
leaf_parent_108_26_capex_excluding_software_current,leaf,CHILDREN_TO_MAJOR_PARENT,108,,26,capex_excluding_software,current,55286.81,55286.810000000005,7.275957614183426e-12,0.01,PASS
