year,pref,計,針葉樹_計,針葉樹_あかまつ・くろまつ,針葉樹_すぎ,針葉樹_ひのき,針葉樹_もみ・つが,針葉樹_からまつ,針葉樹_えぞまつ・とどまつ,針葉樹_その他,広葉樹_計,広葉樹_なら,広葉樹_ぶな,広葉樹_その他
1961,群馬県,787.0,591.0,102.0,267.0,63.0,38.0,,106.0,15.0,196.0,22.0,65.0,109.0
1961,茨城県,602.0,536.0,200.0,242.0,90.0,1.0,,2.0,1.0,66.0,4.0,1.0,61.0
1961,長崎県,461.0,332.0,185.0,87.0,55.0,2.0,,0.0,3.0,129.0,0.0,0.0,129.0
1961,長野県,2186.0,1726.0,419.0,245.0,171.0,210.0,,510.0,171.0,460.0,33.0,95.0,332.0
1961,青森県,1239.0,1026.0,230.0,475.0,13.0,1.0,,18.0,289.0,213.0,6.0,100.0,107.0
1961,静岡県,1708.0,1601.0,278.0,725.0,459.0,121.0,,6.0,12.0,107.0,5.0,15.0,87.0
1961,香川県,133.0,126.0,99.0,9.0,17.0,1.0,,,0.0,7.0,0.0,0.0,7.0
1961,高知県,1288.0,967.0,250.0,304.0,212.0,194.0,,0.0,7.0,321.0,8.0,15.0,298.0
1961,鳥取県,524.0,404.0,175.0,176.0,48.0,1.0,,3.0,1.0,120.0,6.0,51.0,63.0
1961,鹿児島県,1524.0,929.0,413.0,342.0,156.0,17.0,,,1.0,595.0,1.0,0.0,594.0
1962,三重県,1091.0,1047.0,207.0,545.0,253.0,33.0,,1.0,8.0,44.0,3.0,8.0,33.0
1962,京都府,684.0,626.0,254.0,238.0,121.0,11.0,,1.0,1.0,58.0,5.0,5.0,48.0
1962,佐賀県,283.0,215.0,72.0,95.0,47.0,1.0,,0.0,0.0,68.0,0.0,,68.0
1962,全国,48078.0,35437.0,9383.0,13394.0,4595.0,1445.0,,5659.0,961.0,12641.0,942.0,2092.0,9607.0
1962,兵庫県,823.0,767.0,332.0,297.0,116.0,19.0,,1.0,2.0,56.0,5.0,14.0,37.0
